Location,Price,Bedrooms,Bathrooms,Size (sqft),Ownership,Property type,Garden
Gateshead,120700.0,7.0,1.0,439.0,,Mansionette,
Newcastle,178300.0,3.0,1.0,399.0,,,Yes
Newcastle,153600.0,3.0,1.0,458.0,,Not Specified,Patio
Gateshead,150800.0,3.0,2.0,426.0,Freehold,,Not Specified
Newcastle,926100.0,3.0,1.0,1826.0,,Mansionette,
,,2.0,1.0,401.0,,,
Gateshead,141500.0,3.0,1.0,482.0,Freehold,Semi-Detached,Yes
Morpeth,103300.0,1.0,1.0,613.0,,Semi-Detached,Yes
Morpeth,113900.0,3.0,2.0,499.0,,Detached,Yes
Newcastle,,1.0,2.0,,,Not Specified,Yes
Gateshead,160000.0,1.0,1.0,434.0,,Terraced,Yes
Newcastle,145000.0,2.0,1.0,413.0,,Flat,Yes
Sunderland,90800.0,4.0,1.0,528.0,,,No
Sunderland,,3.0,2.0,,Co-operative Society,Apartment,Patio
Gateshead,121300.0,3.0,1.0,424.0,,Semi-Detached,
Gateshead,159600.0,3.0,1.0,410.0,,Detached,Not Specified
Gateshead,120800.0,2.0,1.0,480.0,Co-operative Society,Terraced,Yes
Gateshead,134400.0,3.0,1.0,436.0,,Detached,
Newcastle,220400.0,2.0,1.0,501.0,,Detached,Not Specified
Newcastle,184900.0,4.0,2.0,421.0,,Flat,Yes
Newcastle,,3.0,1.0,,Leasehold,Detached,No
Newcastle,173900.0,1.0,1.0,423.0,,,Yes
Gateshead,145400.0,3.0,1.0,429.0,Leasehold,Not Specified,Not Specified
,,2.0,1.0,420.0,,Detached,
Gateshead,152300.0,2.0,1.0,476.0,,,Yes
Gateshead,294300.0,,1.0,849.0,,Semi-Detached,Yes
Newcastle,327400.0,3.0,1.0,821.0,Leasehold,Flat,No
Gateshead,150100.0,2.0,1.0,449.0,Leasehold,Detached,No
Newcastle,204200.0,5.0,1.0,447.0,,Terraced,
,,2.0,1.0,496.0,,Not Specified,Yes
Newcastle,266100.0,2.0,2.0,455.0,Unknown,Flat,Yes
Newcastle,208700.0,2.0,1.0,557.0,Unknown,Not Specified,No
Gateshead,167800.0,2.0,1.0,452.0,,Terraced,Patio
Newcastle,291100.0,2.0,1.0,440.0,Freehold,Terraced,Yes
Gateshead,145900.0,2.0,1.0,511.0,Freehold,Flat,Yes
,,3.0,1.0,452.0,,Mansionette,Yes
Gateshead,151800.0,2.0,1.0,453.0,Leasehold,,Yes
Newcastle,206400.0,3.0,1.0,460.0,,Terraced,Yes
Morpeth,95600.0,3.0,1.0,432.0,,Semi-Detached,Yes
Newcastle,232000.0,1.0,1.0,489.0,Freehold,Not Specified,
Newcastle,254500.0,3.0,1.0,427.0,,Semi-Detached,Yes
Sunderland,84200.0,2.0,1.0,484.0,Leasehold,Semi-Detached,Yes
Morpeth,36000.0,1.0,1.0,442.0,Freehold,Mansionette,Not Specified
Gateshead,87900.0,2.0,1.0,454.0,Leasehold,Mansionette,Yes
Newcastle,239700.0,2.0,1.0,656.0,Leasehold,Detached,No
Sunderland,60900.0,1.0,1.0,424.0,,Apartment,No
Newcastle,213400.0,4.0,1.0,428.0,,Semi-Detached,Yes
Morpeth,118300.0,2.0,2.0,527.0,,Flat,Yes
,,1.0,1.0,1091.0,,Semi-Detached,Yes
Newcastle,208900.0,2.0,1.0,546.0,Unknown,Flat,No
,,3.0,1.0,460.0,,,Yes
Gateshead,,1.0,,505.0,,Semi-Detached,Yes
Gateshead,120400.0,3.0,1.0,437.0,,Terraced,No
Newcastle,130500.0,2.0,1.0,430.0,Unknown,Detached,No
Newcastle,359200.0,3.0,2.0,440.0,Co-operative Society,Detached,
Newcastle,467400.0,,1.0,506.0,,,Not Specified
Morpeth,120000.0,2.0,1.0,418.0,,Detached,Yes
Newcastle,186100.0,3.0,1.0,441.0,,Semi-Detached,Yes
Gateshead,143200.0,2.0,1.0,423.0,,Not Specified,Yes
Newcastle,230300.0,2.0,2.0,462.0,,,No
Newcastle,404700.0,2.0,1.0,664.0,,Semi-Detached,No
Morpeth,74400.0,3.0,1.0,507.0,Leasehold,,No
Newcastle,233100.0,2.0,1.0,661.0,,,Not Specified
Newcastle,164000.0,3.0,1.0,449.0,,Terraced,
Gateshead,148200.0,2.0,1.0,458.0,Leasehold,Apartment,
Gateshead,113200.0,1.0,1.0,478.0,Leasehold,Semi-Detached,Yes
Morpeth,63200.0,4.0,1.0,429.0,,Terraced,Patio
Newcastle,177300.0,2.0,1.0,402.0,,Flat,Yes
Consett,43500.0,4.0,1.0,537.0,,Not Specified,Not Specified
Gateshead,153500.0,2.0,1.0,424.0,Leasehold,Flat,No
Morpeth,109400.0,1.0,1.0,808.0,,Detached,No
Newcastle,,1.0,2.0,,,Semi-Detached,
Newcastle,319300.0,2.0,2.0,705.0,Leasehold,,No
Gateshead,182800.0,2.0,1.0,412.0,,Detached,Yes
Newcastle,144300.0,2.0,1.0,465.0,Unknown,Semi-Detached,
Gateshead,130700.0,2.0,1.0,436.0,,Semi-Detached,Not Specified
Newcastle,235600.0,2.0,2.0,453.0,Freehold,Detached,Yes
Gateshead,170600.0,,2.0,423.0,Freehold,Apartment,Patio
Gateshead,138800.0,3.0,1.0,414.0,,Mansionette,Yes
Newcastle,143000.0,3.0,1.0,468.0,Leasehold,Flat,Yes
Gateshead,404100.0,2.0,1.0,1203.0,Unknown,Semi-Detached,No
Sunderland,76400.0,2.0,1.0,444.0,Unknown,Mansionette,Yes
Newcastle,232000.0,2.0,1.0,455.0,,Not Specified,No
,,3.0,1.0,514.0,Freehold,Mansionette,No
Gateshead,195000.0,2.0,1.0,442.0,Leasehold,Not Specified,Not Specified
Gateshead,125400.0,3.0,1.0,427.0,Leasehold,Flat,
Newcastle,112900.0,2.0,1.0,412.0,Co-operative Society,Semi-Detached,No
Consett,,2.0,1.0,,Unknown,Terraced,Yes
Newcastle,187700.0,1.0,2.0,436.0,,Not Specified,Patio
Newcastle,258400.0,1.0,1.0,500.0,,Mansionette,Yes
Newcastle,665300.0,2.0,1.0,1362.0,Co-operative Society,Semi-Detached,Yes
Newcastle,157000.0,2.0,1.0,649.0,,Semi-Detached,
Gateshead,155000.0,2.0,1.0,460.0,,,
Newcastle,195300.0,2.0,1.0,442.0,,Terraced,
Sunderland,60400.0,4.0,1.0,434.0,,Terraced,Yes
Gateshead,141700.0,5.0,1.0,412.0,,Terraced,Yes
Gateshead,209800.0,2.0,1.0,767.0,Freehold,Detached,Patio
Gateshead,149800.0,3.0,1.0,485.0,,Terraced,Yes
Newcastle,195000.0,2.0,1.0,437.0,Co-operative Society,Not Specified,Yes
Newcastle,291000.0,3.0,2.0,443.0,Freehold,Terraced,Yes
Morpeth,64200.0,,1.0,438.0,,Apartment,Yes
Sunderland,60900.0,2.0,1.0,456.0,,,No
Gateshead,396700.0,2.0,1.0,1384.0,Co-operative Society,Semi-Detached,Yes
Newcastle,340300.0,1.0,1.0,579.0,,,Yes
,,2.0,1.0,442.0,Freehold,Semi-Detached,No
Sunderland,97200.0,3.0,1.0,482.0,,Detached,Yes
Newcastle,135500.0,3.0,1.0,430.0,Unknown,Detached,Yes
Newcastle,233700.0,4.0,1.0,458.0,Leasehold,Semi-Detached,Yes
Newcastle,211500.0,2.0,1.0,482.0,,Terraced,Yes
Morpeth,62300.0,2.0,1.0,425.0,Freehold,Flat,Yes
Newcastle,157500.0,2.0,1.0,551.0,Freehold,Mansionette,
Newcastle,215300.0,3.0,1.0,446.0,,Not Specified,Yes
Gateshead,127500.0,3.0,1.0,434.0,,Mansionette,Patio
Newcastle,136100.0,3.0,1.0,407.0,,Detached,Yes
Gateshead,396600.0,,1.0,1441.0,Freehold,Terraced,Yes
Newcastle,224600.0,5.0,2.0,501.0,,Apartment,No
,,3.0,2.0,815.0,,Terraced,No
Newcastle,188400.0,1.0,2.0,439.0,Unknown,Flat,Patio
Gateshead,151000.0,3.0,1.0,405.0,Freehold,Semi-Detached,Yes
Gateshead,128700.0,6.0,1.0,442.0,,Semi-Detached,Patio
Gateshead,205000.0,6.0,1.0,535.0,Freehold,,
Gateshead,163200.0,3.0,1.0,423.0,,Terraced,Yes
Sunderland,155100.0,6.0,1.0,694.0,,Semi-Detached,Yes
Gateshead,,4.0,,442.0,,Apartment,No
Gateshead,181300.0,3.0,1.0,423.0,Freehold,Not Specified,Not Specified
Gateshead,156000.0,4.0,1.0,513.0,Leasehold,Flat,Yes
Newcastle,278300.0,4.0,1.0,558.0,,,Yes
Morpeth,316400.0,3.0,1.0,1388.0,Co-operative Society,Semi-Detached,
Newcastle,151000.0,2.0,1.0,482.0,,Flat,Patio
Newcastle,,2.0,1.0,,,Terraced,Yes
,,1.0,2.0,440.0,,Detached,Yes
Newcastle,275700.0,2.0,1.0,532.0,,Semi-Detached,Yes
Newcastle,252100.0,2.0,1.0,428.0,,Flat,No
Morpeth,,3.0,1.0,,,Terraced,Yes
Morpeth,111000.0,2.0,2.0,439.0,,,Yes
Newcastle,156500.0,1.0,1.0,448.0,,Terraced,Yes
Gateshead,,1.0,1.0,,,Semi-Detached,Yes
Gateshead,182700.0,3.0,1.0,458.0,,Terraced,
Newcastle,304200.0,2.0,1.0,431.0,,Flat,
Gateshead,167000.0,2.0,1.0,459.0,,Not Specified,Yes
Gateshead,135500.0,1.0,2.0,422.0,,Terraced,Yes
Newcastle,131400.0,2.0,1.0,562.0,Leasehold,Mansionette,No
Newcastle,148200.0,2.0,1.0,450.0,Freehold,Mansionette,No
Newcastle,,3.0,,533.0,,Flat,Not Specified
Gateshead,156500.0,4.0,2.0,442.0,Freehold,Flat,Yes
Consett,,2.0,1.0,,Unknown,,Yes
Sunderland,110600.0,3.0,1.0,447.0,,Semi-Detached,No
Newcastle,256900.0,3.0,1.0,601.0,,Apartment,No
Sunderland,62200.0,2.0,1.0,418.0,Leasehold,Semi-Detached,No
Gateshead,191800.0,2.0,1.0,451.0,,Semi-Detached,Yes
Gateshead,141900.0,2.0,1.0,494.0,,Terraced,Yes
Gateshead,559500.0,2.0,1.0,1328.0,,Not Specified,No
Gateshead,183800.0,2.0,1.0,608.0,Freehold,Apartment,Not Specified
Gateshead,137000.0,2.0,1.0,430.0,,,Not Specified
Gateshead,115600.0,3.0,1.0,440.0,Leasehold,Terraced,Patio
Gateshead,,,1.0,,,Not Specified,Yes
Newcastle,,3.0,,519.0,,Detached,No
Newcastle,233000.0,3.0,2.0,435.0,Freehold,Mansionette,Yes
Gateshead,192600.0,5.0,2.0,428.0,,Flat,No
Gateshead,146400.0,3.0,1.0,479.0,,Apartment,Yes
Newcastle,285800.0,3.0,1.0,1063.0,Unknown,Terraced,Yes
Newcastle,243800.0,1.0,1.0,470.0,Unknown,,Not Specified
Sunderland,96300.0,3.0,1.0,426.0,,Terraced,No
Gateshead,197500.0,2.0,1.0,434.0,,Semi-Detached,
Gateshead,270300.0,3.0,1.0,984.0,,Semi-Detached,Yes
Newcastle,251700.0,2.0,1.0,424.0,,,Not Specified
Gateshead,231100.0,1.0,2.0,625.0,,Semi-Detached,No
Sunderland,95300.0,3.0,1.0,564.0,Leasehold,,No
Newcastle,196500.0,2.0,1.0,501.0,,,Not Specified
Gateshead,,3.0,,407.0,,Flat,Yes
Newcastle,,2.0,,954.0,,Semi-Detached,
Newcastle,208900.0,1.0,1.0,430.0,,,Patio
Morpeth,107700.0,1.0,1.0,464.0,Freehold,Semi-Detached,Not Specified
Gateshead,227900.0,3.0,2.0,591.0,,,
Sunderland,54300.0,,1.0,413.0,Co-operative Society,Terraced,Yes
Gateshead,137500.0,2.0,1.0,450.0,Freehold,Semi-Detached,No
Gateshead,131900.0,2.0,1.0,432.0,,Apartment,Yes
Newcastle,303800.0,2.0,1.0,632.0,Freehold,Terraced,Not Specified
Newcastle,239400.0,1.0,1.0,429.0,,Detached,
Newcastle,149900.0,1.0,1.0,511.0,,Detached,Yes
Gateshead,164100.0,2.0,2.0,435.0,Leasehold,Semi-Detached,Yes
,,3.0,1.0,482.0,,Mansionette,No
Newcastle,417400.0,3.0,2.0,589.0,Leasehold,Mansionette,No
Gateshead,140500.0,2.0,1.0,425.0,,Detached,Not Specified
Gateshead,154300.0,1.0,1.0,555.0,,Semi-Detached,Not Specified
Gateshead,,3.0,,408.0,Freehold,Semi-Detached,No
Gateshead,146200.0,2.0,2.0,491.0,,,No
Gateshead,126500.0,3.0,1.0,460.0,,Semi-Detached,Yes
Gateshead,211300.0,3.0,1.0,526.0,,Semi-Detached,Yes
,,3.0,1.0,430.0,,Terraced,Yes
,,2.0,1.0,605.0,Unknown,Flat,Yes
Newcastle,478600.0,1.0,2.0,1378.0,Leasehold,Detached,Yes
Sunderland,118100.0,3.0,2.0,442.0,Leasehold,Semi-Detached,Yes
Gateshead,158400.0,3.0,1.0,428.0,,Semi-Detached,Yes
Gateshead,167900.0,3.0,1.0,450.0,Freehold,Semi-Detached,Yes
Gateshead,,1.0,2.0,,,Not Specified,Yes
Newcastle,,3.0,2.0,,Co-operative Society,Not Specified,No
Gateshead,,2.0,1.0,,Leasehold,Semi-Detached,Yes
Morpeth,100500.0,3.0,1.0,516.0,,,Yes
Morpeth,,3.0,2.0,,Co-operative Society,Semi-Detached,No
Gateshead,158700.0,2.0,1.0,423.0,,Semi-Detached,
Sunderland,100700.0,6.0,1.0,424.0,Leasehold,Semi-Detached,Yes
Newcastle,252900.0,2.0,1.0,453.0,Freehold,Flat,Yes
Newcastle,147300.0,4.0,2.0,479.0,Freehold,Semi-Detached,
,,2.0,0.0,644.0,,Flat,Yes
Consett,,4.0,,414.0,,Not Specified,Yes
,,2.0,1.0,454.0,,Mansionette,No
Gateshead,234500.0,2.0,1.0,950.0,,,Yes
Newcastle,164100.0,2.0,1.0,485.0,,,
Newcastle,243500.0,3.0,2.0,442.0,Freehold,,No
Newcastle,267800.0,3.0,1.0,643.0,Co-operative Society,Not Specified,Yes
Newcastle,302000.0,1.0,1.0,913.0,,Terraced,Yes
Sunderland,83400.0,2.0,1.0,425.0,,Mansionette,Yes
Newcastle,303500.0,2.0,1.0,825.0,,Semi-Detached,
Newcastle,,3.0,1.0,,,Detached,Yes
Morpeth,142100.0,4.0,1.0,496.0,Co-operative Society,Mansionette,No
Gateshead,,2.0,1.0,,Leasehold,Terraced,No
Sunderland,102900.0,2.0,1.0,450.0,,Flat,Patio
Gateshead,116200.0,2.0,1.0,464.0,Co-operative Society,,No
,,1.0,1.0,483.0,Leasehold,Terraced,Yes
Sunderland,109200.0,2.0,2.0,452.0,,Terraced,No
Newcastle,143500.0,,2.0,438.0,Leasehold,Terraced,Not Specified
Gateshead,180900.0,3.0,1.0,545.0,,,No
Newcastle,,4.0,,954.0,Leasehold,,No
Newcastle,,2.0,,397.0,,Detached,Yes
Gateshead,164100.0,2.0,1.0,405.0,Co-operative Society,,Yes
,,1.0,1.0,415.0,Co-operative Society,Semi-Detached,No
Newcastle,252600.0,1.0,1.0,485.0,Leasehold,Flat,Yes
Newcastle,183400.0,2.0,1.0,427.0,Freehold,,Yes
Newcastle,118900.0,2.0,1.0,429.0,Leasehold,Mansionette,Yes
Morpeth,86900.0,3.0,1.0,452.0,,,Yes
Morpeth,87300.0,3.0,1.0,409.0,,Detached,Not Specified
Newcastle,255200.0,3.0,2.0,429.0,,Detached,Yes
Newcastle,,2.0,1.0,,,Not Specified,Yes
Gateshead,127900.0,2.0,1.0,416.0,,Semi-Detached,
Gateshead,153000.0,1.0,1.0,449.0,,Terraced,Patio
Gateshead,172900.0,4.0,1.0,759.0,Unknown,,Yes
Sunderland,81200.0,3.0,1.0,434.0,,Semi-Detached,No
Sunderland,120800.0,2.0,1.0,483.0,Freehold,Semi-Detached,Yes
Newcastle,263200.0,2.0,1.0,831.0,Leasehold,Apartment,Yes
Newcastle,175200.0,2.0,1.0,465.0,,Semi-Detached,Yes
Morpeth,83200.0,2.0,1.0,407.0,,Semi-Detached,Yes
Gateshead,99300.0,4.0,1.0,433.0,,Detached,No
Newcastle,168500.0,3.0,1.0,411.0,,Detached,Yes
Gateshead,180200.0,2.0,1.0,458.0,,Semi-Detached,No
Gateshead,,2.0,1.0,,,Semi-Detached,Yes
Gateshead,129700.0,3.0,1.0,408.0,,Flat,No
Newcastle,204500.0,2.0,1.0,420.0,,Flat,Yes
Sunderland,64000.0,2.0,1.0,417.0,Co-operative Society,Apartment,Yes
Gateshead,223800.0,1.0,1.0,770.0,,,Yes
Newcastle,160800.0,2.0,1.0,558.0,,,Yes
Gateshead,136800.0,2.0,1.0,497.0,,Not Specified,
Newcastle,219500.0,2.0,1.0,443.0,,Detached,No
Gateshead,232400.0,,1.0,596.0,,Semi-Detached,Yes
Sunderland,63500.0,3.0,1.0,429.0,Leasehold,Semi-Detached,Yes
Newcastle,223500.0,2.0,1.0,439.0,,Mansionette,Yes
Newcastle,204800.0,4.0,1.0,431.0,,Semi-Detached,Yes
Morpeth,69000.0,5.0,1.0,516.0,,Detached,Yes
Gateshead,154400.0,2.0,1.0,451.0,,Semi-Detached,Yes
,,3.0,1.0,418.0,Leasehold,Detached,
Sunderland,74600.0,3.0,1.0,470.0,Co-operative Society,Mansionette,
Gateshead,110700.0,5.0,1.0,454.0,,Mansionette,Yes
,,3.0,1.0,409.0,,Terraced,
Newcastle,200400.0,2.0,1.0,429.0,,Flat,Yes
Newcastle,,2.0,1.0,,,Flat,Yes
,,3.0,1.0,469.0,,,No
Newcastle,137200.0,3.0,1.0,424.0,,Detached,No
Sunderland,91000.0,1.0,1.0,485.0,,Terraced,Yes
Newcastle,156700.0,3.0,1.0,439.0,,,Yes
Newcastle,268900.0,3.0,1.0,674.0,,,Yes
Gateshead,389700.0,3.0,1.0,1025.0,Co-operative Society,Semi-Detached,
Newcastle,129500.0,2.0,1.0,416.0,,Terraced,Yes
Newcastle,250400.0,3.0,1.0,412.0,Freehold,Semi-Detached,Yes
Gateshead,311200.0,3.0,1.0,806.0,Freehold,Detached,No
Sunderland,266800.0,2.0,1.0,1039.0,,Flat,Yes
Newcastle,367800.0,1.0,1.0,719.0,,,Yes
Gateshead,189500.0,3.0,1.0,412.0,,Terraced,
Newcastle,173600.0,3.0,2.0,428.0,Freehold,Terraced,Patio
Gateshead,145900.0,2.0,1.0,438.0,Freehold,Terraced,Yes
Gateshead,222800.0,1.0,1.0,655.0,,Semi-Detached,No
Gateshead,133500.0,1.0,1.0,445.0,,Apartment,
Newcastle,,2.0,1.0,,,Detached,Not Specified
Newcastle,203700.0,2.0,1.0,476.0,,Flat,
Newcastle,169300.0,2.0,1.0,445.0,,Terraced,Yes
Newcastle,433300.0,5.0,1.0,548.0,Freehold,Semi-Detached,Yes
,,2.0,1.0,,,Semi-Detached,Yes
Gateshead,,2.0,1.0,,Leasehold,Detached,No
Newcastle,,2.0,,652.0,Leasehold,Semi-Detached,Yes
Newcastle,115500.0,2.0,1.0,437.0,Freehold,,Yes
Sunderland,93900.0,2.0,1.0,537.0,,Semi-Detached,Yes
Newcastle,194400.0,3.0,1.0,436.0,Leasehold,Semi-Detached,
Gateshead,114500.0,1.0,1.0,533.0,,,Yes
Sunderland,77100.0,3.0,1.0,637.0,,Terraced,Yes
Consett,79500.0,3.0,1.0,462.0,,Semi-Detached,No
,,3.0,1.0,421.0,,Flat,Not Specified
Newcastle,206400.0,2.0,1.0,444.0,Freehold,Flat,Yes
Consett,55000.0,1.0,1.0,481.0,Unknown,Detached,No
